Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
,Team Totals,,78,,18820,3325,7042,0.472,808,2418,0.334,2517,4624,0.544,0.53,1281,1831,0.7,770,2833,3603,1986,589,412,1218,1627,8739
2,LeBron James\jamesle01,34,55,55,1937,558,1095,0.51,111,327,0.339,447,768,0.582,0.56,278,418,0.665,57,408,465,454,72,33,197,94,1505
1,Kyle Kuzma\kuzmaky01,23,70,68,2314,496,1087,0.456,128,422,0.303,368,665,0.553,0.515,188,250,0.752,60,322,382,178,41,26,133,170,1308
4,Brandon Ingram\ingrabr01,21,52,52,1760,362,729,0.497,31,94,0.33,331,635,0.521,0.518,195,289,0.675,41,226,267,154,28,31,129,149,950
3,Kentavious Caldwell-Pope\caldwke01,25,78,19,1888,289,659,0.439,138,389,0.355,151,270,0.559,0.543,126,143,0.881,44,175,219,89,68,13,59,131,842
6,JaVale McGee\mcgeeja01,31,71,58,1579,372,599,0.621,1,9,0.111,371,590,0.629,0.622,93,144,0.646,184,347,531,47,46,139,100,192,838
5,Josh Hart\hartjo01,23,67,22,1715,189,464,0.407,92,274,0.336,97,190,0.511,0.506,55,80,0.688,35,213,248,93,64,40,58,147,525
9,Lance Stephenson\stephla01,28,67,3,1103,182,423,0.43,72,190,0.379,110,233,0.472,0.515,50,73,0.685,32,180,212,137,40,6,83,110,486
7,Lonzo Ball\balllo01,21,47,45,1423,185,456,0.406,75,228,0.329,110,228,0.482,0.488,20,48,0.417,54,197,251,255,69,19,103,114,465
8,Rajon Rondo\rondora01,32,44,27,1302,164,401,0.409,46,129,0.357,118,272,0.434,0.466,23,33,0.697,33,200,233,353,55,7,119,98,397
12,Ivica Zubac\zubaciv01,21,33,12,516,112,193,0.58,0,0,,112,193,0.58,0.58,57,66,0.864,54,108,162,25,4,27,33,73,281
16,Michael Beasley\beaslmi01,30,26,2,277,75,153,0.49,3,17,0.176,72,136,0.529,0.5,28,39,0.718,13,47,60,25,9,10,27,42,181
11,Reggie Bullock\bullore01,27,19,16,524,63,153,0.412,34,99,0.343,29,54,0.537,0.523,17,21,0.81,2,48,50,20,16,7,11,30,177
14,Moritz Wagner\wagnemo01,21,39,3,381,61,145,0.421,22,70,0.314,39,75,0.52,0.497,32,41,0.78,15,59,74,22,10,11,33,49,176
15,Alex Caruso\carusal01,24,21,0,372,50,104,0.481,18,35,0.514,32,69,0.464,0.567,40,51,0.784,14,31,45,42,19,7,24,44,158
10,Tyson Chandler\chandty01,36,48,6,786,53,87,0.609,0,1,0,53,86,0.616,0.609,41,69,0.594,85,183,268,31,19,22,35,89,147
13,Sviatoslav Mykhailiuk\mykhasv01,21,39,0,420,44,132,0.333,27,85,0.318,17,47,0.362,0.436,12,20,0.6,8,26,34,33,13,1,20,25,127
17,Johnathan Williams\willijo04,23,20,0,272,44,75,0.587,0,1,0,44,74,0.595,0.587,14,30,0.467,31,32,63,7,4,5,11,51,102
18,Mike Muscala\muscami01,27,13,2,140,17,48,0.354,9,36,0.25,8,12,0.667,0.448,5,6,0.833,1,18,19,9,3,7,1,12,48
19,Isaac Bonga\bongais01,19,18,0,70,4,24,0.167,0,6,0,4,18,0.222,0.167,6,9,0.667,5,12,17,9,6,1,4,5,14
20,Scott Machado\machasc01,28,4,0,19,4,6,0.667,1,1,1,3,5,0.6,0.75,1,1,1,0,0,0,3,1,0,0,2,10
22,Jemerrio Jones\jonesje01,23,2,0,7,1,3,0.333,0,2,0,1,1,1,0.333,0,0,,1,0,1,0,1,0,0,0,2
21,Andre Ingram\ingraan01,33,4,0,15,0,6,0,0,3,0,0,3,0,0,0,0,,1,1,2,0,1,0,1,0,0